Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1850,15.039592900000002,15.68451117,15.961727710000002,15.60407424,15.34808854,13.545229539999998,11.514576069999999,9.03384864,8.797768049999998,10.05074892,12.287305949999997,13.602505525
1851,15.00901528,16.03110495,16.07311474,15.600468639999999,14.737387799999999,13.088204139999998,12.2249494,9.97834133,9.085282209999999,9.669408019999999,11.496645569999998,13.679310875000002
1852,15.295416199999998,16.16306711,16.473205420000003,15.02995082,15.315560900000001,13.898082579999999,11.59836453,10.18945382,9.058715529999999,9.039719080000001,11.279316109999998,13.421581445000001
1853,15.090364489999999,16.011890819999998,15.903422110000001,15.84810453,15.725106700000001,13.950775839999999,12.3287285,10.5509132,9.12264261,9.979299739999998,11.299899009999999,13.541542615000001
1854,15.090364489999999,16.011890819999998,15.939844220000001,15.870488419999997,15.183906879999999,13.954946589999999,12.37127587,10.30010927,8.39497194,8.31990621,11.09393716,13.369753965000001
1855,15.090364489999999,16.011890819999998,15.698314150000002,15.7906668,15.520567080000001,13.800106139999999,12.39599443,10.043618429999999,8.739409199999999,9.37817979,11.290034999999998,13.750928145000001
1856,15.090364489999999,16.011890819999998,15.646365320000001,15.700864540000001,15.44687884,13.982622289999998,12.694144479999999,9.89154377,8.633626139999999,9.766394170000002,11.719480729999999,13.578815525
1857,15.004418099999999,16.13662024,15.714803280000002,15.867259179999998,15.00986757,12.988122229999998,12.56007556,8.4976375,8.26494245,8.319399309999998,11.552005609999998,13.541111675
1858,15.004418099999999,16.13662024,15.741077330000003,15.856617589999999,15.619286680000002,13.922931549999998,11.92096157,8.32128101,8.24180416,8.342841499999999,11.552005609999998,13.541111675
1859,15.12947488,15.955715269999999,15.970236320000001,15.89556705,15.5618824,13.978641179999999,11.62057426,9.40267269,8.745422499999998,9.883199479999998,11.293041759999998,13.911284725000002
1860,15.300909910000001,16.125695299999997,15.96428479,15.868293699999999,15.62628282,14.199745909999999,11.13299967,8.55542978,8.34397734,9.903518729999998,11.293041759999998,13.911284725000002
1861,15.12947488,15.955715269999999,15.93048675,15.874593179999998,15.4128185,14.12416126,12.384719539999999,8.39956973,8.738929409999999,10.11088419,11.270630719999998,13.833190705000002
1862,15.12947488,15.955715269999999,15.928110880000002,15.834979959999998,15.594498560000002,13.48229199,11.88284457,8.62865867,9.08678376,10.12595009,11.270630719999998,13.833190705000002
1863,15.300909910000001,16.125695299999997,15.8646432,15.939910300000001,14.90653376,13.972576409999999,11.07715203,9.341116609999998,8.40447071,9.97576927,11.293041759999998,13.911284725000002
1864,15.300909910000001,16.125695299999997,16.68673862,15.799073579999998,14.92258727,14.00243469,11.512532989999999,10.10062286,8.720087569999999,9.907135489999998,11.293041759999998,13.911284725000002
1865,15.17824513,16.14794816,15.95336816,15.905598339999997,15.055019869999999,13.819749459999999,11.83322941,10.0864507,9.113671899999998,9.79894886,11.496645569999998,13.679310875000002
1866,15.300909910000001,16.125695299999997,15.85368329,15.836560809999998,14.449046990000001,13.26690968,11.1583648,10.39702697,9.09086777,9.739564909999999,11.496645569999998,13.679310875000002
1867,15.090364489999999,16.011890819999998,15.794730959999999,16.00199892,14.60532884,14.14303835,11.372753159999998,9.91548349,8.900689819999998,9.81471388,11.858151619999997,14.160460415000001
1868,15.112126799999999,16.19845126,16.44441832,15.85879782,14.50661577,14.139943719999998,11.959358139999999,10.02186988,9.09898619,10.081771059999998,11.270630719999998,13.833190705000002
1869,15.559273349999998,16.361246979999997,16.639609030000003,15.92538716,15.008561060000002,13.755529619999999,11.8993142,9.146217870000001,8.19040886,9.850640949999999,11.293041759999998,13.585332255
1870,15.194848480000001,15.64999172,15.737306910000001,15.64384038,14.766523549999999,13.167349739999999,11.87421798,10.24677432,8.959093489999999,9.08804817,11.457427759999998,13.585332255
1871,15.20139086,15.62350924,15.63741805,16.16931949,15.1059592,13.452593959999998,11.97663584,9.84510404,8.818955999999998,9.92667888,11.293041759999998,13.585332255
1872,15.129307320000002,15.4923094,15.3384764,15.25347566,15.03982946,13.067274,11.126787729999998,10.42178198,9.11158801,9.88237509,11.293041759999998,13.485563775000001
1873,15.129244539999998,15.36374449,15.283655620000001,15.48012807,15.32725826,14.14675265,12.51678101,8.76188404,9.18095852,8.889281049999997,11.516035919999998,13.334715645000001
1874,14.87679842,15.53886837,15.51364054,15.7997029,14.827607980000002,14.100045059999998,11.705161319999998,8.95279792,9.06452859,9.734131469999998,11.943738219999997,13.585332255
1875,15.196427759999999,15.634064289999998,15.849525710000002,15.564552939999999,14.92123095,13.924545889999997,12.207076319999999,10.59720243,8.225910469999999,9.90818866,11.336411659999998,13.736355895
1876,15.278272430000001,15.719644039999999,15.826755210000002,15.911737979999998,15.39957076,13.97527891,11.67884293,8.579796040000002,9.151900959999999,9.61905952,11.466849479999999,13.334715645000001
1877,14.75379971,15.38098115,15.46413034,15.08308574,15.42843845,14.145127269999998,11.1513511,9.31587409,9.089777699999999,9.629428649999998,11.617768749999998,13.585332255
1878,15.13100334,15.96246056,16.21084326,15.815332909999999,15.33937768,13.14700508,11.89706597,8.74204574,9.03764951,9.488281439999998,11.675036169999998,13.619606445
1879,14.728008070000001,15.264922869999998,15.492750430000001,15.41917425,15.3668646,14.0758694,11.434086319999999,10.505422130000001,8.125501559999998,9.840854329999999,11.293041759999998,13.334715645000001
1880,14.633679149999999,15.52745509,15.64550633,15.771103759999999,15.06872512,13.878712449999998,12.791265600000001,10.39534161,8.91805903,9.879721,11.412456369999997,13.585332255
